regime,Cognitive_mse,Baseline_mse,Cognitive_dir_acc,Baseline_dir_acc,mse_improvement,dir_acc_improvement
Regime 0: High Vol. Bull,1.2942880392074585,11.646682739257812,2.021604938271605,3.2808641975308643,88.88706708868472,-38.38193791157103
Regime 1: High Vol. Bull,1.3434803485870361,15.015981674194336,2.051440329218107,3.090534979423868,91.05299688200958,-33.62183754993342
Regime 2: High Vol. Bull,1.5701463222503662,9.95496654510498,1.8779527559055118,3.425196850393701,84.22750779587066,-45.17241379310345
Regime 3: High Vol. Bull,1.693732738494873,13.991841316223145,1.8135593220338984,3.406779661016949,87.89485457835319,-46.766169154228855
overall,1.476971983909607,12.60856819152832,1.9425837320574162,3.2960526315789473,88.28596584898528,-41.0633278896752
